ATP1A1	NM_000701	chr1	+	116915794	116947396	116916133	116947066	23	116915794,116926635,116927404,116929909,116930752,116931259,116931523,116932060,116932834,116933403,116935475,116936152,116937731,116939219,116940509,116941242,116941551,116942041,116943482,116943751,116944175,116946505,116947037,	116916145,116926746,116927464,116930113,116930866,116931394,116931641,116932329,116933033,116933513,116935610,116936345,116937907,116939356,116940660,116941411,116941706,116942165,116943628,116943882,116944277,116946597,116947396,
UGT2B28	NM_053039	chr4	+	70146216	70160768	70146218	70160527	6	70146216,70148231,70152469,70155382,70156309,70160247,	70146939,70148380,70152601,70155470,70156529,70160768,
COL12A1	NM_004370	chr6	-	75794041	75915623	75796262	75912508	66	75794041,75797292,75798821,75799825,75801038,75801205,75804823,75806968,75811315,75811714,75812312,75813472,75814921,75816134,75818733,75822919,75823317,75825499,75825734,75827097,75828758,75829065,75831017,75833045,75833663,75833970,75834842,75836066,75838011,75839806,75840567,75841655,75843008,75843573,75844441,75847152,75848035,75848163,75848537,75851747,75852963,75855041,75855817,75857390,75858073,75860856,75861582,75861846,75862048,75864131,75865377,75865972,75875222,75884753,75887378,75890654,75892765,75893569,75898077,75898932,75899267,75901416,75901927,75904546,75912435,75915492,	75796273,75797463,75798890,75800014,75801105,75801241,75804895,75807022,75811369,75811768,75812408,75813526,75815008,75816212,75818883,75823029,75823460,75825638,75825773,75827262,75828902,75829189,75831157,75833120,75833810,75834087,75834989,75836186,75838141,75839949,75840697,75841798,75843138,75843713,75844571,75847295,75848056,75848296,75848677,75851873,75853104,75855171,75855960,75857520,75858213,75861003,75861747,75861966,75862198,75864253,75865570,75866239,75875495,75885026,75887651,75890927,75893368,75893860,75898251,75899097,75899531,75901476,75902071,75904663,75912543,75915623,
ATP1A1	NM_001160234	chr1	+	116925991	116947396	116926716	116947066	23	116925991,116926635,116927404,116929909,116930752,116931259,116931523,116932060,116932834,116933403,116935475,116936152,116937731,116939219,116940509,116941242,116941551,116942041,116943482,116943751,116944175,116946505,116947037,	116926175,116926746,116927464,116930113,116930866,116931394,116931641,116932329,116933033,116933513,116935610,116936345,116937907,116939356,116940660,116941411,116941706,116942165,116943628,116943882,116944277,116946597,116947396,
ATP1A1	NM_001160233	chr1	+	116916488	116947396	116916851	116947066	23	116916488,116926635,116927404,116929909,116930752,116931259,116931523,116932060,116932834,116933403,116935475,116936152,116937731,116939219,116940509,116941242,116941551,116942041,116943482,116943751,116944175,116946505,116947037,	116916863,116926746,116927464,116930113,116930866,116931394,116931641,116932329,116933033,116933513,116935610,116936345,116937907,116939356,116940660,116941411,116941706,116942165,116943628,116943882,116944277,116946597,116947396,
SLCO1C1	NM_001145944	chr12	+	20848398	20906320	20858965	20905413	13	20848398,20858882,20864319,20868072,20870065,20874737,20876023,20885842,20890040,20893117,20896238,20903608,20905239,	20848741,20859015,20864444,20868219,20870164,20874983,20876188,20886038,20890206,20893302,20896303,20903829,20906320,
GAS1	NM_002048	chr9	-	89559276	89562104	89560656	89561694	1	89559276,	89562104,
SLCO1C1	NM_017435	chr12	+	20848398	20906320	20852510	20905462	15	20848398,20852485,20854251,20858882,20864319,20868072,20870065,20874737,20876023,20885842,20890040,20893117,20896238,20903608,20905239,	20848741,20852639,20854393,20859015,20864444,20868219,20870164,20874983,20876188,20886038,20890206,20893302,20896303,20903726,20906320,
DHX15	NM_001358	chr4	-	24529087	24586184	24529546	24586016	14	24529087,24531223,24534486,24538673,24541730,24542462,24543495,24544562,24550477,24556347,24557873,24572276,24577865,24585945,	24529664,24531393,24534677,24538796,24541922,24542571,24543645,24544649,24550645,24556566,24558033,24572470,24578301,24586184,
PDE6H	NM_006205	chr12	+	15125955	15134799	15130946	15134410	4	15125955,15130905,15132112,15134333,	15126020,15131080,15132153,15134799,
CYP4A11	NM_000778	chr1	-	47394845	47407156	47395786	47407105	12	47394845,47398432,47398654,47399617,47399847,47400124,47400671,47401194,47402335,47402973,47403667,47406910,	47395982,47398509,47398719,47399751,47400038,47400231,47400826,47401319,47402463,47403018,47403809,47407156,
SLCO1C1	NM_001145946	chr12	+	20848288	20906320	20852510	20905413	16	20848288,20848669,20852485,20854251,20858882,20864319,20868072,20870065,20874737,20876023,20885842,20890040,20893117,20896238,20903608,20905239,	20848546,20848741,20852639,20854393,20859015,20864444,20868219,20870164,20874983,20876188,20886038,20890206,20893302,20896303,20903829,20906320,
SLCO1C1	NM_001145945	chr12	+	20848288	20906320	20852510	20905462	15	20848288,20848669,20852485,20854251,20858882,20864319,20870065,20874737,20876023,20885842,20890040,20893117,20896238,20903608,20905239,	20848546,20848741,20852639,20854393,20859015,20864444,20870164,20874983,20876188,20886038,20890206,20893302,20896303,20903726,20906320,
